team,player,time,date,year,id
Spain,Olga Carmona,29,2023-08-20,2023,64
Sweden,Kosovare Asllani,62,2023-08-19,2023,63
Australia,Sam Kerr,63,2023-08-16,2023,62
England,Ella Toone,36,2023-08-16,2023,62
England,Lauren Hemp,71,2023-08-16,2023,62
England,Alessia Russo,86,2023-08-16,2023,62
Spain,Salma Paralluelo,81,2023-08-15,2023,61
Spain,Olga Carmona,89,2023-08-15,2023,61
Sweden,Rebecka Blomqvist,88,2023-08-15,2023,61
England,Lauren Hemp,45+6,2023-08-12,2023,59
England,Alessia Russo,63,2023-08-12,2023,59
Colombia,Leicy Santos,44,2023-08-12,2023,59
Spain,Salma Paralluelo,111,2023-08-11,2023,58
Netherlands,Stefanie van der Gragt,90+1,2023-08-11,2023,58
Japan,Honoka Hayashi,87,2023-08-11,2023,57
Sweden,Amanda Ilestedt,32,2023-08-11,2023,57
Colombia,Catalina Usme,51,2023-08-08,2023,56
France,Kadidiatou Diani,15,2023-08-08,2023,55
France,Kenza Dali,20,2023-08-08,2023,55
France,Eugénie Le Sommer,23,2023-08-08,2023,55
France,Eugénie Le Sommer,70,2023-08-08,2023,55
Australia,Caitlin Foord,29,2023-08-07,2023,53
Australia,Hayley Raso,70,2023-08-07,2023,53
Netherlands,Jill Roord,9,2023-08-06,2023,52
Netherlands,Lineth Beerensteyn,68,2023-08-06,2023,52
Spain,Aitana Bonmatí,5,2023-08-05,2023,50
Spain,Alba Redondo,17,2023-08-05,2023,50
Spain,Aitana Bonmatí,36,2023-08-05,2023,50
Spain,Laia Codina,45,2023-08-05,2023,50
Spain,Jennifer Hermoso,70,2023-08-05,2023,50
Japan,Risa Shimizu,50,2023-08-05,2023,49
Japan,Hinata Miyazawa,81,2023-08-05,2023,49
Norway,Guro Reiten,20,2023-08-05,2023,49
Morocco,Anissa Lahmari,45+4,2023-08-03,2023,48
Korea Republic,Cho So-hyun,6,2023-08-03,2023,47
Germany,Alexandra Popp,42,2023-08-03,2023,47
South Africa,Hildah Magaia,67,2023-08-02,2023,46
South Africa,Thembi Kgatlana,90+2,2023-08-02,2023,46
Italy,Arianna Caruso,74,2023-08-02,2023,46
Sweden,Rebecka Blomqvist,66,2023-08-02,2023,45
Panama,Marta Cox,2,2023-08-02,2023,43
Panama,Lineth Cedeño,87,2023-08-02,2023,43
France,Maëlle Lakrar,21,2023-08-02,2023,43
France,Kadidiatou Diani,28,2023-08-02,2023,43
France,Léa Le Garrec,45+5,2023-08-02,2023,43
France,Vicki Bècho,90+10,2023-08-02,2023,43
Netherlands,Lieke Martens,8,2023-08-01,2023,42
Netherlands,Katja Snoeijs,11,2023-08-01,2023,42
Netherlands,Esmee Brugts,18,2023-08-01,2023,42
Netherlands,Jill Roord,23,2023-08-01,2023,42
Netherlands,Daniëlle van de Donk,45,2023-08-01,2023,42
Netherlands,Esmee Brugts,57,2023-08-01,2023,42
Netherlands,Jill Roord,83,2023-08-01,2023,42
Denmark,Sanne Troelsgaard Nielsen,90+10,2023-08-01,2023,40
England,Alessia Russo,4,2023-08-01,2023,39
England,Lauren Hemp,26,2023-08-01,2023,39
England,Lauren James,41,2023-08-01,2023,39
England,Lauren James,65,2023-08-01,2023,39
England,Chloe Kelly,77,2023-08-01,2023,39
England,Rachel Daly,84,2023-08-01,2023,39
Japan,Hinata Miyazawa,12,2023-07-31,2023,38
Japan,Riko Ueki,29,2023-07-31,2023,38
Japan,Hinata Miyazawa,40,2023-07-31,2023,38
Japan,Mina Tanaka,82,2023-07-31,2023,38
Costa Rica,Melissa Herrera,47,2023-07-31,2023,37
Zambia,Lushomo Mweemba,3,2023-07-31,2023,37
Zambia,Racheal Kundananji,90+3,2023-07-31,2023,37
Australia,Hayley Raso,9,2023-07-31,2023,35
Australia,Hayley Raso,39,2023-07-31,2023,35
Australia,Mary Fowler,58,2023-07-31,2023,35
Morocco,Ibtissam Jraïdi,6,2023-07-30,2023,34
Norway,Sophie Román Haug,6,2023-07-30,2023,32
Norway,Sophie Román Haug,17,2023-07-30,2023,32
Norway,Caroline Graham Hansen,31,2023-07-30,2023,32
Norway,Sophie Román Haug,90+5,2023-07-30,2023,32
Colombia,Linda Caicedo,52,2023-07-30,2023,31
Colombia,Manuela Vanegas,90+7,2023-07-30,2023,31
Sweden,Amanda Ilestedt,39,2023-07-29,2023,30
Sweden,Fridolina Rolfö,44,2023-07-29,2023,30
Sweden,Stina Blackstenius,45+1,2023-07-29,2023,30
Sweden,Amanda Ilestedt,50,2023-07-29,2023,30
Sweden,Rebecka Blomqvist,90+5,2023-07-29,2023,30
France,Eugénie Le Sommer,17,2023-07-29,2023,29
France,Wendie Renard,83,2023-07-29,2023,29
Brazil,Debinha,58,2023-07-29,2023,29
Jamaica,Allyson Swaby,56,2023-07-29,2023,28
Argentina,Sophia Braun,74,2023-07-28,2023,27
Argentina,Romina Núñez,79,2023-07-28,2023,27
South Africa,Linda Motlhalo,30,2023-07-28,2023,27
South Africa,Thembi Kgatlana,66,2023-07-28,2023,27
England,Lauren James,6,2023-07-28,2023,26
United States of America,Lindsey Horan,62,2023-07-27,2023,24
Netherlands,Jill Roord,17,2023-07-27,2023,24
Portugal,Telma Encarnação,7,2023-07-27,2023,23
Portugal,Kika Nazareth,21,2023-07-27,2023,23
Australia,Emily van Egmond,45+1,2023-07-27,2023,22
Australia,Alanna Kennedy,90+10,2023-07-27,2023,22
Nigeria,Uchenna Kanu,45+6,2023-07-27,2023,22
Nigeria,Osinachi Ohale,65,2023-07-27,2023,22
Nigeria,Asisat Oshoala,72,2023-07-27,2023,22
Japan,Hikaru Naomoto,25,2023-07-26,2023,21
Japan,Aoba Fujino,27,2023-07-26,2023,21
Spain,Teresa Abelleira,9,2023-07-26,2023,20
Spain,Jennifer Hermoso,13,2023-07-26,2023,20
Spain,Alba Redondo,69,2023-07-26,2023,20
Spain,Jennifer Hermoso,70,2023-07-26,2023,20
Spain,Alba Redondo,85,2023-07-26,2023,20
Canada,Adriana Leon,53,2023-07-26,2023,19
Republic of Ireland,Katie McCabe,4,2023-07-26,2023,19
Colombia,Linda Caicedo,39,2023-07-25,2023,18
Philippines,Sarina Bolden,24,2023-07-25,2023,17
Italy,Cristiana Girelli,87,2023-07-24,2023,15
Germany,Alexandra Popp,11,2023-07-24,2023,14
Germany,Alexandra Popp,39,2023-07-24,2023,14
Germany,Klara Bühl,46,2023-07-24,2023,14
Germany,Lea Schüller,90,2023-07-24,2023,14
Brazil,Ary Borges,19,2023-07-24,2023,13
Brazil,Ary Borges,39,2023-07-24,2023,13
Brazil,Beatriz,48,2023-07-24,2023,13
Brazil,Ary Borges,70,2023-07-24,2023,13
Sweden,Fridolina Rolfö,65,2023-07-23,2023,12
Sweden,Amanda Ilestedt,90,2023-07-23,2023,12
South Africa,Hildah Magaia,48,2023-07-23,2023,12
Netherlands,Stefanie van der Gragt,13,2023-07-23,2023,11
United States of America,Sophia Smith,14,2023-07-22,2023,9
United States of America,Sophia Smith,45+7,2023-07-22,2023,9
United States of America,Lindsey Horan,77,2023-07-22,2023,9
Japan,Hinata Miyazawa,43,2023-07-22,2023,8
Japan,Mina Tanaka,55,2023-07-22,2023,8
Japan,Hinata Miyazawa,62,2023-07-22,2023,8
Japan,Jun Endō,71,2023-07-22,2023,8
Denmark,Amalie Vangsgaard,89,2023-07-22,2023,6
Switzerland,Seraina Piubel,64,2023-07-21,2023,4
Spain,Aitana Bonmatí,23,2023-07-21,2023,3
Spain,Esther González,27,2023-07-21,2023,3
New Zealand,Hannah Wilkinson,48,2023-07-20,2023,2
United States of America,Rose Lavelle,69,2019-07-07,2019,52
England,Fran Kirby,31,2019-07-06,2019,51
Sweden,Kosovare Asllani,11,2019-07-06,2019,51
Sweden,Sofia Jakobsson,22,2019-07-06,2019,51
Netherlands,Jackie Groenen,99,2019-07-03,2019,50
England,Ellen White,19,2019-07-02,2019,49
United States of America,Christen Press,10,2019-07-02,2019,49
United States of America,Alex Morgan,31,2019-07-02,2019,49
Netherlands,Vivianne Miedema,70,2019-06-29,2019,48
Netherlands,Stefanie van der Gragt,80,2019-06-29,2019,48
Germany,Lina Magull,16,2019-06-29,2019,47
Sweden,Sofia Jakobsson,22,2019-06-29,2019,47
Sweden,Stina Blackstenius,48,2019-06-29,2019,47
France,Wendie Renard,81,2019-06-28,2019,46
United States of America,Megan Rapinoe,5,2019-06-28,2019,46
United States of America,Megan Rapinoe,65,2019-06-28,2019,46
England,Jill Scott,3,2019-06-27,2019,45
England,Ellen White,40,2019-06-27,2019,45
England,Lucy Bronze,57,2019-06-27,2019,45
Italy,Valentina Giacinti,15,2019-06-25,2019,44
Italy,Aurora Galli,49,2019-06-25,2019,44
Netherlands,Lieke Martens,17,2019-06-25,2019,43
Japan,Yui Hasegawa,43,2019-06-25,2019,43
Spain,Jennifer Hermoso,9,2019-06-24,2019,42
Sweden,Stina Blackstenius,55,2019-06-24,2019,41
England,Steph Houghton,14,2019-06-23,2019,40
England,Ellen White,45+4,2019-06-23,2019,40
England,Alex Greenwood,58,2019-06-23,2019,40
France,Valérie Gauvin,52,2019-06-23,2019,39
France,Amandine Henry,106,2019-06-23,2019,39
Brazil,Thaisa,63,2019-06-23,2019,39
Germany,Alexandra Popp,20,2019-06-22,2019,38
Germany,Lea Schüller,82,2019-06-22,2019,38
Norway,Isabell Herlovsen,31,2019-06-22,2019,37
Australia,Elise Kellond-Knight,83,2019-06-22,2019,37
Netherlands,Anouk Dekker,54,2019-06-20,2019,36
Netherlands,Lineth Beerensteyn,75,2019-06-20,2019,36
Canada,Christine Sinclair,60,2019-06-20,2019,36
Cameroon,Ajara Nchout,57,2019-06-20,2019,35
Cameroon,Ajara Nchout,90+5,2019-06-20,2019,35
United States of America,Lindsey Horan,3,2019-06-20,2019,34
Chile,María José Urrutia,80,2019-06-20,2019,33
England,Ellen White,14,2019-06-19,2019,32
England,Ellen White,84,2019-06-19,2019,32
Scotland,Kim Little,19,2019-06-19,2019,31
Scotland,Jennifer Beattie,49,2019-06-19,2019,31
Scotland,Erin Cuthbert,69,2019-06-19,2019,31
Argentina,Milagros Menéndez,74,2019-06-19,2019,31
Jamaica,Havana Solaun,49,2019-06-18,2019,29
Australia,Sam Kerr,11,2019-06-18,2019,29
Australia,Sam Kerr,42,2019-06-18,2019,29
Australia,Sam Kerr,69,2019-06-18,2019,29
Australia,Sam Kerr,83,2019-06-18,2019,29
Germany,Melanie Leupolz,14,2019-06-17,2019,28
Germany,Sara Däbritz,29,2019-06-17,2019,28
Germany,Alexandra Popp,40,2019-06-17,2019,28
Germany,Lina Magull,58,2019-06-17,2019,28
Korea Republic,Yeo Min-ji,78,2019-06-17,2019,26
Sweden,Linda Sembrant,6,2019-06-16,2019,24
Sweden,Kosovare Asllani,19,2019-06-16,2019,24
Sweden,Fridolina Rolfö,42,2019-06-16,2019,24
Sweden,Lina Hurtig,81,2019-06-16,2019,24
Thailand,Kanjana Sungngoen,90+1,2019-06-16,2019,24
United States of America,Carli Lloyd,11,2019-06-16,2019,23
United States of America,Julie Ertz,26,2019-06-16,2019,23
United States of America,Carli Lloyd,35,2019-06-16,2019,23
Netherlands,Vivianne Miedema,41,2019-06-15,2019,22
Netherlands,Dominique Janssen,48,2019-06-15,2019,22
Netherlands,Vivianne Miedema,85,2019-06-15,2019,22
