team,score,xg,manager,captain,Year
Spain,1,2.1,Jorge Vilda,Olga Carmona,2023
England,0,0.5,Sarina Wiegman,Millie Bright,2023
Sweden,2,1.8,Peter Gerhardsson,Kosovare Asllani,2023
Australia,0,0.8,Tony Gustavsson,Sam Kerr,2023
Australia,1,1.4,Tony Gustavsson,Sam Kerr,2023
England,3,1.3,Sarina Wiegman,Millie Bright,2023
Spain,2,1.6,Jorge Vilda,Olga Carmona,2023
Sweden,1,0.9,Peter Gerhardsson,Kosovare Asllani,2023
Australia,0,1.6,Tony Gustavsson,Steph Catley,2023
France,0,2.0,Hervé Renard,Wendie Renard,2023
England,2,1.5,Sarina Wiegman,Millie Bright,2023
Colombia,1,0.5,Nelson Abadía,Catalina Usme,2023
Spain,2,3.4,Jorge Vilda,Esther González,2023
Netherlands,1,0.8,Andries Jonker,Sherida Spitse,2023
Japan,1,1.7,Futoshi Ikeda,Saki Kumagai,2023
Sweden,2,2.0,Peter Gerhardsson,Kosovare Asllani,2023
Colombia,1,0.9,Nelson Abadía,Catalina Usme,2023
Jamaica,0,1.2,Lorne Donaldson,Khadija Shaw,2023
France,4,2.2,Hervé Renard,Wendie Renard,2023
Morocco,0,0.0,Reynald Pedros,Ghizlane Chebbak,2023
England,0,0.9,Sarina Wiegman,Millie Bright,2023
Nigeria,0,1.2,Randy Waldrum,Chiamaka Nnadozie,2023
Australia,2,1.1,Tony Gustavsson,Steph Catley,2023
Denmark,0,0.7,Lars Søndergaard,Pernille Harder,2023
Netherlands,2,1.6,Andries Jonker,Sherida Spitse,2023
South Africa,0,1.2,Desiree Ellis,Thembi Kgatlana,2023
Sweden,0,0.7,Peter Gerhardsson,Kosovare Asllani,2023
United States of America,0,1.3,Vlatko Andonovski,Lindsey Horan,2023
Switzerland,1,0.3,Inka Grings,Lia Wälti,2023
Spain,5,3.5,Jorge Vilda,Esther González,2023
Japan,3,1.0,Futoshi Ikeda,Saki Kumagai,2023
Norway,1,0.8,Hege Riise,Maren Mjelde,2023
Morocco,1,1.2,Reynald Pedros,Ghizlane Chebbak,2023
Colombia,0,0.6,Nelson Abadía,Daniela Montoya,2023
Korea Republic,1,1.0,Colin Bell,Kim Hye-ri,2023
Germany,1,1.8,Martina Voss-Tecklenburg,Alexandra Popp,2023
South Africa,3,1.4,Desiree Ellis,Thembi Kgatlana,2023
Italy,2,3.2,Milena Bertolini,Barbara Bonansea,2023
Argentina,0,0.4,Germán Portanova,Vanina Correa,2023
Sweden,2,2.0,Peter Gerhardsson,Caroline Seger,2023
Jamaica,0,0.2,Lorne Donaldson,Khadija Shaw,2023
Brazil,0,1.6,Pia Sundhage,Marta,2023
Panama,3,1.5,Nacho Quintana,Marta Cox,2023
France,6,4.4,Hervé Renard,Grace Geyoro,2023
Vietnam,0,0.4,Mai Đức Chung,Phạm Hải Yến,2023
Netherlands,7,4.9,Andries Jonker,Sherida Spitse,2023
Portugal,0,0.4,Francisco Neto,Dolores Silva,2023
United States of America,0,2.1,Vlatko Andonovski,Lindsey Horan,2023
Haiti,0,0.5,Nicolas Delépine,Nérilia Mondésir,2023
Denmark,2,1.9,Lars Søndergaard,Pernille Harder,2023
China PR,1,0.9,Shui Qingxia,Wang Shanshan,2023
England,6,2.6,Sarina Wiegman,Millie Bright,2023
