home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,Attendance,Venue,Officials,Round,Date,Score,Referee,Notes,Host,Year,home_goal,away_goal,home_goal_long,away_goal_long,home_own_goal,away_own_goal,home_penalty_goal,away_penalty_goal,home_penalty_miss_long,away_penalty_miss_long,home_penalty_shootout_goal_long,away_penalty_shootout_goal_long,home_penalty_shootout_miss_long,away_penalty_shootout_miss_long,home_red_card,away_red_card,home_yellow_red_card,away_yellow_red_card,home_yellow_card_long,away_yellow_card_long,home_substitute_in_long,away_substitute_in_long
Spain,England,1,2.1,,0,0.5,,Jorge Vilda,Olga Carmona,Sarina Wiegman,Millie Bright,75784,"Accor Stadium, Sydney",Tori Penso (Referee) · Brooke Mayo (AR1) · Kathryn Nesbitt (AR2) · Yoshimi Yamashita (4th) · Tatiana Guzmán (VAR),Final,2023-08-20,1–0,Tori Penso,,"Australia, New Zealand",2023,Olga Carmona · 29’,,['29’|1:0|Olga Carmona|Assist:|Mariona Caldentey'],,,,,,['69’|1:0|Jennifer Hermoso|Penalty saved by Mary Earps'],,,,,,,,,,['78’|1:0|Salma Paralluelo'],['55’|1:0|Lauren Hemp'],"['60’|1:0|Oihane Hernández|for Alba Redondo', '73’|1:0|Ivana Andrés|for Laia Codina', '90’|1:0|Alexia Putellas|for Mariona Caldentey']","['46’|1:0|Lauren James|for Alessia Russo', '46’|1:0|Chloe Kelly|for Rachel Daly', '87’|1:0|Bethany England|for Ella Toone']"
Sweden,Australia,2,1.8,,0,0.8,,Peter Gerhardsson,Kosovare Asllani,Tony Gustavsson,Sam Kerr,49461,"Suncorp Stadium, Brisbane",,Third-place match,2023-08-19,2–0,,,"Australia, New Zealand",2023,Kosovare Asllani · 62’,,['62’|2:0|Kosovare Asllani|Assist:|Stina Blackstenius'],,,,Fridolina Rolfö (P) · 30’,,,,,,,,,,,,"['88’|2:0|Elin Rubensson', '90+5’|2:0|Lina Hurtig']",['45+1’|1:0|Katrina Gorry'],"['67’|2:0|Rebecka Blomqvist|for Stina Blackstenius', '67’|2:0|Lina Hurtig|for Kosovare Asllani', '89’|2:0|Linda Sembrant|for Johanna Rytting Kaneryd']","['60’|1:0|Cortnee Vine|for Hayley Raso', '60’|1:0|Emily van Egmond|for Katrina Gorry', '74’|2:0|Courtney Nevin|for Ellie Carpenter', '74’|2:0|Alex Chidiac|for Clare Polkinghorne']"
Australia,England,1,1.4,,3,1.3,,Tony Gustavsson,Sam Kerr,Sarina Wiegman,Millie Bright,75784,"Accor Stadium, Sydney",Tori Penso (Referee) · Brooke Mayo (AR1) · Mijensa Rensch (AR2) · Yoshimi Yamashita (4th) · Massimiliano Irrati (VAR),Semi-finals,2023-08-16,1–3,Tori Penso,,"Australia, New Zealand",2023,Sam Kerr · 63’,Ella Toone · 36’|Lauren Hemp · 71’|Alessia Russo · 86’,['63’|1:1|Sam Kerr|Assist:|Katrina Gorry'],"['36’|0:1|Ella Toone', '71’|1:2|Lauren Hemp|Assist:|Millie Bright', '86’|1:3|Alessia Russo|Assist:|Lauren Hemp']",,,,,,,,,,,,,,,,"['10’|0:0|Alex Greenwood', '90+5’|1:3|Chloe Kelly']","['72’|1:2|Cortnee Vine|for Hayley Raso', '81’|1:2|Emily van Egmond|for Clare Polkinghorne', '88’|1:3|Alex Chidiac|for Katrina Gorry']","['87’|1:3|Chloe Kelly|for Alessia Russo', '90’|1:3|Niamh Charles|for Ella Toone']"
Spain,Sweden,2,1.6,,1,0.9,,Jorge Vilda,Olga Carmona,Peter Gerhardsson,Kosovare Asllani,43217,"Eden Park, Auckland",Edina Alves Batista (Referee) · Neuza Back (AR1) · Leila Naiara Moreira da Cruz (AR2) · Melissa Borjas Pastrana (4th) · Nicolás Gallo (VAR),Semi-finals,2023-08-15,2–1,Edina Alves Batista,,"Australia, New Zealand",2023,Salma Paralluelo · 81’|Olga Carmona · 89’,Rebecka Blomqvist · 88’,"['81’|1:0|Salma Paralluelo', '89’|2:1|Olga Carmona|Assist:|Teresa Abelleira']",['88’|1:1|Rebecka Blomqvist|Assist:|Lina Hurtig'],,,,,,,,,,,,,,,,,"['57’|0:0|Salma Paralluelo|for Alexia Putellas', '73’|0:0|Eva Navarro|for Alba Redondo', '90+5’|2:1|Esther González|for Mariona Caldentey']","['77’|0:0|Rebecka Blomqvist|for Stina Blackstenius', '77’|0:0|Olivia Schough|for Johanna Rytting Kaneryd', '87’|1:0|Lina Hurtig|for Elin Rubensson']"
Australia,France,0,1.6,7,0,2.0,6,Tony Gustavsson,Steph Catley,Hervé Renard,Wendie Renard,49461,"Suncorp Stadium, Brisbane",María Carvajal (Referee) · Leslie Vásquez (AR1) · Mónica Amboya (AR2) · Laura Fortunato (4th) · Nicolás Gallo (VAR),Quarter-finals,2023-08-12,(7) 0–0 (6),María Carvajal,Australia won on penalty kicks following extra time,"Australia, New Zealand",2023,,,,,,,,,,,"['2|1:0|Caitlin Foord', '6|2:2|Sam Kerr', '8|3:3|Mary Fowler', '12|4:4|Katrina Gorry', '14|5:5|Tameka Yallop', '16|6:6|Ellie Carpenter', '20|7:6|Cortnee Vine']","['3|1:1|Kadidiatou Diani', '5|1:2|Wendie Renard', '7|2:3|Eugénie Le Sommer', '11|3:4|Grace Geyoro', '13|4:5|Sakina Karchaoui', '15|5:6|Maëlle Lakrar']","['4|1:1|Steph Catley', '10|3:3|Mackenzie Arnold', '18|6:6|Clare Hunt']","['1|0:0|Selma Bacha', '9|3:3|Ève Périsset', '17|6:6|Kenza Dali', '19|6:6|Vicki Bècho']",,,,,['92’|0:0|Katrina Gorry'],,"['55’|0:0|Sam Kerr|for Emily van Egmond', '104’|0:0|Cortnee Vine|for Hayley Raso', '116’|0:0|Tameka Yallop|for Kyra Cooney-Cross']","['64’|0:0|Vicki Bècho|for Sandie Toletti', '120+3’|0:0|Ève Périsset|for Élisa De Almeida', '120+3’|0:0|Solène Durand|for Pauline Peyraud-Magnin']"
England,Colombia,2,1.5,,1,0.5,,Sarina Wiegman,Millie Bright,Nelson Abadía,Catalina Usme,75784,"Accor Stadium, Sydney",Katja Koroleva (Referee) · Kathryn Nesbitt (AR1) · Felisha Mariscal (AR2) · Oh Hyeonjeong (4th) · Carol-Anne Chenard (VAR),Quarter-finals,2023-08-12,2–1,Katja Koroleva,,"Australia, New Zealand",2023,Lauren Hemp · 45+6’|Alessia Russo · 63’,Leicy Santos · 44’,"['45+6’|1:1|Lauren Hemp', '63’|2:1|Alessia Russo']",['44’|0:1|Leicy Santos|Assist:|Linda Caicedo'],,,,,,,,,,,,,,,,,"['84’|2:1|Chloe Kelly|for Alessia Russo', '90+3’|2:1|Bethany England|for Lauren Hemp']","['10’|0:0|Ana María Guzmán|for Carolina Arias', '68’|2:1|Natalia Giraldo|for Catalina Pérez', '78’|2:1|Ivonne Chacón|for Diana Ospina']"
Spain,Netherlands,2,3.4,,1,0.8,,Jorge Vilda,Esther González,Andries Jonker,Sherida Spitse,32021,"Sky Stadium, Wellington",Stéphanie Frappart (Referee) · Manuela Nicolosi (AR1) · Elodie Coppola (AR2) · Maria Sole Ferrieri Caputi (4th) · Tatiana Guzmán (VAR),Quarter-finals,2023-08-11,2–1,Stéphanie Frappart,Required Extra Time,"Australia, New Zealand",2023,Salma Paralluelo · 111’,Stefanie van der Gragt · 90+1’,['111’|2:1|Salma Paralluelo|Assist:|Jennifer Hermoso'],['90+1’|1:1|Stefanie van der Gragt|Assist:|Victoria Pelova'],,,Mariona Caldentey (P) · 81’,,,,,,,,,,,,['35’|0:0|Oihane Hernández'],['61’|0:0|Damaris Egurrola'],"['71’|0:0|Salma Paralluelo|for Alba Redondo', '77’|0:0|Ivana Andrés|for Laia Codina', '87’|1:0|Irene Guerrero|for Aitana Bonmatí', '91’|1:1|Olga Carmona|for Oihane Hernández', '100’|1:1|Alexia Putellas|for Mariona Caldentey', '100’|1:1|Eva Navarro|for Esther González']","['61’|0:0|Lynn Wilms|for Jill Roord', '85’|1:0|Katja Snoeijs|for Sherida Spitse', '89’|1:0|Aniek Nouwen|for Esmee Brugts', '96’|1:1|Caitlin Dijkstra|for Damaris Egurrola', '105’|1:1|Kerstin Casparij|for Stefanie van der Gragt']"
Japan,Sweden,1,1.7,,2,2.0,,Futoshi Ikeda,Saki Kumagai,Peter Gerhardsson,Kosovare Asllani,43217,"Eden Park, Auckland",Esther Staubli (Referee) · Katrin Rafalski (AR1) · Susanne Küng (AR2) · Katia García (4th) · Massimiliano Irrati (VAR),Quarter-finals,2023-08-11,1–2,Esther Staubli,,"Australia, New Zealand",2023,Honoka Hayashi · 87’,Amanda Ilestedt · 32’,['87’|1:2|Honoka Hayashi'],['32’|0:1|Amanda Ilestedt'],,,,Filippa Angeldahl (P) · 51’,['76’|0:2|Riko Ueki|Penalty Miss'],,,,,,,,,,['79’|0:2|Riko Ueki'],,"['46’|0:1|Jun Endō|for Hina Sugita', '52’|0:2|Riko Ueki|for Mina Tanaka', '81’|0:2|Kiko Seike|for Hinata Miyazawa', '81’|0:2|Honoka Hayashi|for Fūka Nagano', '90+2’|1:2|Maika Hamano|for Hana Takahashi']","['72’|0:2|Madelen Janogy|for Kosovare Asllani', '73’|0:2|Lina Hurtig|for Fridolina Rolfö', '84’|0:2|Hanna Bennison|for Elin Rubensson', '84’|0:2|Sofia Jakobsson|for Johanna Rytting Kaneryd']"
Colombia,Jamaica,1,0.9,,0,1.2,,Nelson Abadía,Catalina Usme,Lorne Donaldson,Khadija Shaw,27706,"AAMI Park, Melbourne",Kate Jacewicz (Referee) · Kim Kyoungmin (AR1) · Joanna Charaktis (AR2) · Marta Huerta (4th) · Diana Chikotesha (VAR),Round of 16,2023-08-08,1–0,Kate Jacewicz,,"Australia, New Zealand",2023,Catalina Usme · 51’,,['51’|1:0|Catalina Usme|Assist:|Ana María Guzmán'],,,,,,,,,,,,,,,,['70’|1:0|Daniela Arias'],"['41’|0:0|Chantelle Swaby', '45+1’|0:0|Drew Spence']","['87’|1:0|Daniela Montoya|for Leicy Santos', '90+3’|1:0|Marcela Restrepo|for Catalina Usme']","['46’|0:0|Atlanta Primus|for Kiki Van Zanten', '67’|1:0|Tiffany Cameron|for Trudi Carter', '79’|1:0|Peyton McNamara|for Vyan Sampson', '84’|1:0|Cheyna Matthews|for Tiernny Wiltshire', '84’|1:0|Kameron Simmonds|for Jody Brown']"
France,Morocco,4,2.2,,0,0.0,,Hervé Renard,Wendie Renard,Reynald Pedros,Ghizlane Chebbak,13557,"Coopers Stadium, Adelaide",Tori Penso (Referee) · Brooke Mayo (AR1) · Mijensa Rensch (AR2) · Anna-Marie Keighley (4th) · Sarah Jones (VAR),Round of 16,2023-08-08,4–0,Tori Penso,,"Australia, New Zealand",2023,Kadidiatou Diani · 15’|Kenza Dali · 20’|Eugénie Le Sommer · 23’|Eugénie Le Sommer · 70’,,"['15’|1:0|Kadidiatou Diani|Assist:|Sakina Karchaoui', '20’|2:0|Kenza Dali|Assist:|Kadidiatou Diani', '23’|3:0|Eugénie Le Sommer|Assist:|Kadidiatou Diani', '70’|4:0|Eugénie Le Sommer|Assist:|Vicki Bècho']",,,,,,,,,,,,,,,,,['57’|3:0|Hanane Aït El Haj'],"['64’|3:0|Vicki Bècho|for Sandie Toletti', '81’|4:0|Naomie Feller|for Eugénie Le Sommer', '81’|4:0|Estelle Cascarino|for Ève Périsset', '90+1’|4:0|Aïssatou Tounkara|for Sakina Karchaoui', '90+1’|4:0|Viviane Asseyi|for Kadidiatou Diani']","['64’|3:0|Sarah Kassi|for Élodie Nakkach', '64’|3:0|Rosella Ayane|for Anissa Lahmari', '64’|3:0|Sofia Bouftini|for Fatima Tagnaout']"
